FID,Name,Type,r2_PCs,r2_Residuals,r2_age_recruitment,r2_assessment_centre,r2_batch,r2_bmi,r2_fasting,r2_month_attending,r2_sex,r2_smoking,r2_spectrometer,r2_time_analysis,r2_time_day,r2_acquisition_time,r2_device_ID,r2_dilution_factor,r2_Batch,r2_panel_date,r2_ppp_sel,p.value_PCs,p.value_Residuals,p.value_age_recruitment,p.value_assessment_centre,p.value_batch,p.value_bmi,p.value_fasting,p.value_month_attending,p.value_sex,p.value_smoking,p.value_spectrometer,p.value_time_analysis,p.value_time_day,p.value_acquisition_time,p.value_device_ID,p.value_dilution_factor,p.value_Batch,p.value_panel_date,p.value_ppp_sel
adgrv1,ADGRV1,Proteins,0.00063,0.99655,0.00028,0.00067,,2e-04,0,0.00025,0.00027,9e-05,,,1e-05,,,,2e-05,0.00101,2e-05,0.006,NA,0.002,0.1,NA,0.004,0.7,0.5,0.002,0.05,NA,NA,0.6,NA,NA,NA,1,1,0.4
adh1b,ADH1B,Proteins,0.0065,0.8285,0.01396,0.00603,,0.10414,0.00157,0.00386,0.03273,0.00094,,,5e-05,,,,8e-05,0.00162,1e-05,5e-37,NA,6e-72,9e-53,NA,0,4e-19,7e-36,5e-275,5e-12,NA,NA,0.1,NA,NA,NA,0.6,0.4,0.4
adh4,ADH4,Proteins,0.00612,0.77787,0.00844,0.00364,,0.13171,0.00082,0.00164,0.06434,0.00305,,,0.00018,,,,6e-05,0.0021,1e-05,1e-30,NA,3e-30,1e-30,NA,0,3e-11,4e-14,0,2e-37,NA,NA,0.002,NA,NA,NA,0.6,0.03,0.4
adipoq,ADIPOQ,Proteins,0.03194,0.66721,0.01689,0.00132,,0.0822,0.00043,0.00026,0.19317,0.00404,,,0,,,,5e-05,0.00143,0.00106,0,NA,9e-236,6e-10,NA,0,1e-07,0.1,0,2e-58,NA,NA,0.7,NA,NA,NA,0.6,0.2,2e-16
adm,ADM,Proteins,0.03313,0.62533,0.10082,0.00675,,0.19956,0.00043,0.00034,0.00284,0.01107,,,0.0109,,,,1e-04,0.00203,0.00669,0,NA,0,2e-85,NA,0,5e-08,0.01,3e-44,2e-166,NA,NA,8e-164,NA,NA,NA,0.2,0.001,1e-101
adra2a,ADRA2A,Proteins,0.00113,0.99279,9e-04,0.00059,,0.00034,0.00037,0.00028,0.00035,0.00209,,,3e-05,,,,1e-04,0.001,2e-05,5e-07,NA,3e-09,0.2,NA,0.0002,8e-05,0.4,0.0005,8e-21,NA,NA,0.2,NA,NA,NA,0.6,1,0.3
afap1,AFAP1,Proteins,0.02206,0.96513,0.00336,0.00461,,0.00086,0.00046,0.00048,0.00096,7e-05,,,0.00056,,,,0.00018,0.00126,0,5e-187,NA,3e-27,1e-31,NA,9e-10,8e-06,0.03,0.0004,0.08,NA,NA,8e-07,NA,NA,NA,0.2,1,0.8
afm,AFM,Proteins,0.00392,0.83672,0.01423,0.00137,,0.13393,0.00153,0.00075,0.00516,0.00072,,,3e-05,,,,0.00021,0.00141,3e-05,3e-25,NA,5e-127,2e-07,NA,0,8e-19,6e-05,3e-26,1e-09,NA,NA,0.2,NA,NA,NA,0.06,0.7,0.2
afp,AFP,Proteins,0.00233,0.92168,0.05823,0.0017,,0.00137,0.00058,0.00033,0.01088,0.00108,,,2e-05,,,,0.00011,0.00139,3e-04,3e-09,NA,0,9e-09,NA,2e-15,3e-07,0.2,4e-35,2e-12,NA,NA,0.3,NA,NA,NA,0.4,1,0.0002
agbl2,AGBL2,Proteins,0.00098,0.99584,0.00031,0.00074,,1e-05,2e-05,3e-04,0.00012,0.00021,,,0,,,,7e-05,0.00141,0,1e-06,NA,0.0009,0.05,NA,0.6,0.4,0.3,0.07,0.003,NA,NA,0.7,NA,NA,NA,0.7,1,0.8
ager,AGER,Proteins,0.04568,0.88424,0.00126,0.00419,,0.03831,0.00134,0.00057,0.01536,0.00393,,,0.00403,,,,5e-05,0.00104,0,0,NA,9e-06,9e-32,NA,0,1e-15,0.004,3e-152,8e-43,NA,NA,7e-44,NA,NA,NA,0.8,1,1
agr2,AGR2,Proteins,0.002,0.95467,0.02653,0.00113,,0.00019,0.00331,0.00082,0.00214,0.00328,,,0.00196,,,,3e-05,0.0013,0.00265,4e-10,NA,1e-232,0.0003,NA,0.004,4e-33,0.0002,0.0002,8e-33,NA,NA,3e-20,NA,NA,NA,0.9,1,9e-27
agr3,AGR3,Proteins,0.00815,0.91536,0.00806,0.00103,,0.03672,3e-05,0.00056,0.01313,0.00303,,,0.01114,,,,3e-05,0.00204,0.00072,7e-58,NA,4e-45,0.0006,NA,0,0.2,0.008,5e-95,9e-32,NA,NA,2e-111,NA,NA,NA,0.9,0.5,1e-08
agrn,AGRN,Proteins,0.00557,0.8602,0.04015,0.00488,,0.07083,0.00355,0.00101,0.00125,0.00632,,,4e-05,,,,6e-05,0.00187,0.00426,8e-28,NA,0,4e-40,NA,0,3e-40,5e-07,4e-07,4e-70,NA,NA,0.2,NA,NA,NA,0.7,0.2,7e-48
agrp,AGRP,Proteins,0.01711,0.86102,0.00696,0.01883,,0.00593,0.00263,0.01286,0.04025,7e-04,,,0.03071,,,,0.00021,0.00273,6e-05,1e-164,NA,7e-29,9e-185,NA,3e-66,2e-30,6e-130,0,3e-09,NA,NA,0,NA,NA,NA,0.07,0.0002,0.08
agt,AGT,Proteins,0.00729,0.9629,0.00019,0.00288,,0.00063,0.00014,0.00072,0.02322,0.00048,,,0.00012,,,,6e-05,0.00133,4e-05,1e-62,NA,0.02,9e-18,NA,1e-07,0.01,0.0008,5e-224,3e-06,NA,NA,0.02,NA,NA,NA,0.7,1,0.2
agxt,AGXT,Proteins,0.00606,0.9127,0.00524,0.00217,,0.04036,0.00079,0.00107,0.0296,0.00056,,,8e-05,,,,6e-05,0.00122,0.00011,2e-25,NA,0.007,9e-13,NA,0,1e-09,6e-07,7e-247,3e-07,NA,NA,0.06,NA,NA,NA,0.7,1,0.03
ahcy,AHCY,Proteins,0.00363,0.93814,0.0084,0.02491,,0.01631,0,0.00362,0.00084,7e-05,,,0.00174,,,,5e-05,0.00218,0.00012,7e-18,NA,2e-77,2e-223,NA,3e-161,0.9,2e-29,0.02,0.08,NA,NA,7e-19,NA,NA,NA,0.8,0.2,0.02
ahnak,AHNAK,Proteins,0.01049,0.8191,0.04681,0.00805,,0.10069,0.00068,0.00129,0.0048,0.00504,,,3e-05,,,,9e-05,0.00167,0.00127,5e-81,NA,0,2e-74,NA,0,4e-09,7e-10,2e-05,8e-58,NA,NA,0.2,NA,NA,NA,0.5,0.5,7e-16
ahnak2,AHNAK2,Proteins,0.01742,0.92611,0.01391,0.00323,,0.02271,9e-05,0.00081,0.01258,3e-05,,,0.00072,,,,0.00021,0.00148,0.00069,4e-123,NA,7e-132,4e-21,NA,1e-222,0.05,0.0001,6e-119,0.3,NA,NA,1e-08,NA,NA,NA,0.09,0.9,2e-08
ahsa1,AHSA1,Proteins,0.00087,0.9801,0.00188,0.0108,,4e-04,7e-05,0.00155,0.00017,0.00018,,,0.00227,,,,9e-05,0.00155,7e-05,0.0002,NA,2e-19,6e-87,NA,3e-05,0.09,3e-10,0.009,0.005,NA,NA,2e-23,NA,NA,NA,0.5,0.8,0.08
ahsg,AHSG,Proteins,0.00365,0.97081,0.00127,0.00216,,0.01775,2e-04,0.00101,0.00153,0.00013,,,7e-05,,,,0.00012,0.00125,4e-05,9e-14,NA,0.1,8e-12,NA,2e-171,0.003,6e-06,0.0002,0.02,NA,NA,0.09,NA,NA,NA,0.4,1,0.2
ahsp,AHSP,Proteins,0.01087,0.86461,0.00115,0.04387,,0.00396,0.00062,0.0026,0.06733,0.00204,,,0.00048,,,,0.00011,0.00222,0.00016,4e-100,NA,8e-07,0,NA,3e-44,3e-08,5e-22,0,1e-23,NA,NA,1e-06,NA,NA,NA,0.4,0.06,0.005
aida,AIDA,Proteins,0.00058,0.99398,0.00012,0.00081,,1e-05,9e-05,0.00027,1e-05,0.00212,,,1e-05,,,,5e-05,0.00194,1e-05,0.006,NA,0.02,0.03,NA,0.4,0.05,0.4,0.6,4e-21,NA,NA,0.6,NA,NA,NA,0.8,0.5,0.6
aif1,AIF1,Proteins,0.00237,0.96295,0.00084,0.01749,,0.00781,0,0.00177,0.00159,0.00154,,,0.00144,,,,0.00011,0.00195,0.00014,8e-10,NA,2e-05,3e-146,NA,3e-75,0.8,7e-12,9e-13,3e-16,NA,NA,3e-15,NA,NA,NA,0.5,0.7,0.02
aif1l,AIF1L,Proteins,0.00176,0.97579,0.01031,0.00141,,0.00743,0.00011,0.00054,0.00036,0,,,6e-05,,,,2e-05,0.00157,0.00065,3e-10,NA,5e-97,6e-06,NA,5e-71,0.03,0.02,0.0005,0.9,NA,NA,0.1,NA,NA,NA,1,0.9,1e-07
aifm1,AIFM1,Proteins,0.00409,0.93546,0.00107,0.01427,,0.03034,1e-05,0.00258,0.00714,0.00119,,,0.00169,,,,2e-05,0.00213,2e-05,4e-19,NA,0.9,3e-123,NA,1e-296,0.6,7e-20,1e-61,2e-13,NA,NA,2e-18,NA,NA,NA,1,0.4,0.4
ak1,AK1,Proteins,0.00148,0.88986,0.00367,0.05495,,0.00847,0.0011,0.00527,0.02909,0.0019,,,0.00257,,,,8e-05,0.00151,6e-05,0.0004,NA,4e-27,0,NA,2e-89,4e-13,2e-47,7e-287,2e-21,NA,NA,2e-28,NA,NA,NA,0.6,0.9,0.1
ak2,AK2,Proteins,0.00173,0.96541,0.00054,0.02199,,0.00224,0.00013,0.00211,0.00054,0,,,0.00288,,,,3e-05,0.00239,0,5e-06,NA,0.06,3e-192,NA,2e-23,0.01,3e-15,0.06,0.7,NA,NA,1e-29,NA,NA,NA,0.9,0.03,0.8
akap12,AKAP12,Proteins,0.0018,0.9775,0.00622,0.00201,,0.00454,0.00018,0.00102,0.00443,0.00042,,,8e-05,,,,0.00019,0.00156,7e-05,1e-06,NA,1e-44,3e-10,NA,3e-44,0.006,8e-06,7e-28,2e-05,NA,NA,0.07,NA,NA,NA,0.2,0.8,0.09
akr1b1,AKR1B1,Proteins,0.00105,0.97001,0.00048,0.01824,,0.00268,2e-05,0.00173,0.00071,0.00035,,,0.00302,,,,5e-05,0.00166,0,0.0008,NA,0.05,1e-151,NA,7e-27,0.4,2e-11,0.0002,0.0001,NA,NA,4e-30,NA,NA,NA,0.8,0.9,0.7
akr1b10,AKR1B10,Proteins,0.00119,0.98642,0.00138,0.00055,,0.00575,0.00066,0.00013,0.00086,0.00142,,,0.00023,,,,5e-05,0.00134,3e-05,2e-05,NA,2e-14,0.3,NA,7e-55,1e-07,0.9,2e-09,9e-15,NA,NA,0.002,NA,NA,NA,0.8,1,0.3
akr1c4,AKR1C4,Proteins,0.00074,0.9832,0.00022,0.00075,,0.00988,7e-05,0.00016,0.00291,0.00051,,,1e-05,,,,0.00013,0.00137,5e-05,0.003,NA,0.003,0.05,NA,7e-93,0.08,0.8,1e-28,3e-06,NA,NA,0.5,NA,NA,NA,0.4,1,0.1
akr7l,AKR7L,Proteins,0.01152,0.93669,0.00606,0.00134,,0.02712,8e-05,0.00044,0.01392,0.00088,,,0.00036,,,,8e-05,0.00102,0.00049,5e-100,NA,3e-49,8e-06,NA,7e-261,0.05,0.05,1e-124,4e-10,NA,NA,7e-05,NA,NA,NA,0.6,1,3e-06
akt1s1,AKT1S1,Proteins,0.0022,0.93326,0.00087,0.0419,,0.00608,5e-05,0.00601,0.00417,0.00037,,,0.00343,,,,0.00018,0.0015,0,3e-07,NA,0.8,0,NA,7e-61,0.2,5e-51,6e-34,5e-05,NA,NA,4e-35,NA,NA,NA,0.2,1,0.7
akt2,AKT2,Proteins,0.00261,0.96029,0.00092,0.02456,,0.00156,8e-05,0.00253,7e-04,2e-05,,,0.00448,,,,1e-05,0.00213,0.00011,3e-14,NA,0.001,2e-217,NA,7e-17,0.05,4e-19,0.5,0.3,NA,NA,2e-45,NA,NA,NA,1,0.1,0.02
akt3,AKT3,Proteins,0.00112,0.9588,0.00066,0.02859,,0.00113,0.00017,0.00313,0.00058,0.00013,,,0.00341,,,,3e-05,0.0022,3e-05,0.0006,NA,0.07,6e-246,NA,3e-12,0.007,1e-23,1,0.02,NA,NA,7e-34,NA,NA,NA,0.9,0.4,0.2
alcam,ALCAM,Proteins,0.00427,0.83695,0.035,0.0023,,0.00178,0.00032,0.00133,0.11242,0.00227,,,0.00041,,,,4e-05,0.00106,0.00184,5e-28,NA,0,6e-16,NA,1e-21,5e-05,3e-10,0,4e-27,NA,NA,4e-06,NA,NA,NA,0.9,1,2e-22
aldh1a1,ALDH1A1,Proteins,0.00217,0.82879,0.00486,0.03937,,0.05159,0.00201,0.00479,0.06071,0.00257,,,0.00103,,,,3e-05,0.002,8e-05,2e-09,NA,8e-14,0,NA,0,3e-24,2e-46,0,1e-30,NA,NA,4e-13,NA,NA,NA,0.9,0.1,0.04
aldh2,ALDH2,Proteins,0.00131,0.98616,0.00016,0.0013,,0.00607,7e-05,0.00028,0.00198,0.00047,,,8e-04,,,,0.00015,0.00105,0.00019,8e-07,NA,0.8,3e-05,NA,4e-59,0.08,0.3,7e-19,6e-06,NA,NA,4e-09,NA,NA,NA,0.2,1,0.004
aldh3a1,ALDH3A1,Proteins,0.00203,0.87497,0.00304,0.00313,,0.00572,0.00153,0.00127,0.05634,0.04558,,,0.00459,,,,8e-05,0.00153,2e-04,7e-10,NA,7e-23,3e-22,NA,4e-62,8e-18,5e-09,0,0,NA,NA,3e-50,NA,NA,NA,0.6,0.8,0.002
aldh5a1,ALDH5A1,Proteins,0.00131,0.9843,0.00075,0.00292,,0.00658,3e-05,0.00093,0.00126,0.00015,,,0.00027,,,,1e-04,0.00131,9e-05,4e-06,NA,0.8,1e-17,NA,3e-64,0.3,3e-05,2e-06,0.01,NA,NA,0.0007,NA,NA,NA,0.5,1,0.05
alms1,ALMS1,Proteins,0.00051,0.99699,4e-05,6e-04,,1e-05,1e-05,0.00015,0.00022,0.00012,,,1e-05,,,,0.00015,0.00109,9e-05,0.04,NA,0.2,0.2,NA,0.5,0.6,0.9,0.003,0.02,NA,NA,0.4,NA,NA,NA,0.3,1,0.05
alpi,ALPI,Proteins,0.00279,0.96334,0.00179,0.00127,,2e-04,0.01052,0.00056,0.00331,0.00035,,,0.01191,,,,0.00041,0.00354,0,3e-19,NA,2e-16,4e-05,NA,0.003,2e-100,0.01,8e-31,0.0001,NA,NA,2e-113,NA,NA,NA,0.003,2e-06,0.8
alpp,ALPP,Proteins,0.00649,0.81327,0.01143,0.00252,,0.00013,0.00071,0.00071,0.01928,0.1433,,,0.00023,,,,2e-05,0.00131,0.00059,2e-25,NA,3e-129,2e-18,NA,0.008,1e-09,0.0001,6e-217,0,NA,NA,0.0006,NA,NA,NA,1,1,3e-08
ambn,AMBN,Proteins,0.00272,0.98681,0.00229,0.00052,,0.00467,0,3e-04,0.00112,0.00012,,,0.00024,,,,0.00015,0.00106,0,2e-18,NA,1e-21,0.3,NA,7e-45,0.8,0.3,1e-10,0.02,NA,NA,0.002,NA,NA,NA,0.3,1,0.8
ambp,AMBP,Proteins,0.01302,0.81412,0.07939,0.00503,,0.07136,3e-05,0.00037,0.00735,0.00519,,,0.00062,,,,0.00012,0.00167,0.00174,5e-88,NA,0,1e-44,NA,0,0.2,0.05,3e-52,2e-61,NA,NA,1e-08,NA,NA,NA,0.3,0.6,1e-21
amdhd2,AMDHD2,Proteins,0.00047,0.99485,1e-05,0.00089,,0.00011,1e-05,0.00037,0.00014,1e-05,,,0,,,,0.00036,0.00278,1e-05,0.01,NA,0.9,0.008,NA,0.03,0.6,0.1,0.02,0.5,NA,NA,0.7,NA,NA,NA,0.008,0.007,0.5
amfr,AMFR,Proteins,0.00262,0.98075,7e-04,0.00595,,0.00677,2e-05,0.00097,0.00011,0,,,0.00064,,,,0.00017,0.00129,1e-05,8e-19,NA,1e-07,4e-42,NA,2e-64,0.4,2e-05,0.09,0.8,NA,NA,2e-07,NA,NA,NA,0.2,1,0.6
amigo1,AMIGO1,Proteins,0.00096,0.99595,0.00019,0.00065,,0.00023,5e-05,0.00019,3e-05,0.00062,,,0.00013,,,,1e-05,0.001,0,0.006,NA,0.005,0.1,NA,0.002,0.1,0.7,0.3,3e-07,NA,NA,0.02,NA,NA,NA,1,1,0.6
amigo2,AMIGO2,Proteins,0.00187,0.98431,0.00182,0.00203,,0.00015,0.00015,0.00111,0.00675,5e-05,,,1e-05,,,,4e-05,0.00136,0.00035,1e-05,NA,0.05,2e-10,NA,0.01,0.01,1e-06,6e-49,0.1,NA,NA,0.5,NA,NA,NA,0.9,1,0.0001
amn,AMN,Proteins,0.00561,0.96002,0.00148,0.0019,,0.02053,3e-05,5e-04,0.00607,0.00072,,,0.00117,,,,9e-05,0.00152,0.00036,6e-45,NA,7e-05,1e-09,NA,1e-194,0.2,0.03,8e-49,2e-08,NA,NA,1e-12,NA,NA,NA,0.6,0.9,7e-05
amot,AMOT,Proteins,0.00428,0.789,0.00261,0.00065,,0.03458,1e-04,0.00044,0.15315,0.00794,,,0.00557,,,,7e-05,0.00155,5e-05,2e-38,NA,6e-07,0.02,NA,0,0.02,0.02,0,2e-93,NA,NA,3e-66,NA,NA,NA,0.6,0.4,0.09
amotl2,AMOTL2,Proteins,0.00423,0.95935,0.00082,0.01687,,0.01035,0.00052,0.00272,0.00108,0.00122,,,3e-05,,,,0.00017,0.00241,0.00022,4e-32,NA,0.0002,9e-145,NA,1e-101,2e-06,1e-20,4e-07,2e-13,NA,NA,0.3,NA,NA,NA,0.2,0.02,0.002
ampd3,AMPD3,Proteins,0.00233,0.90022,0.00477,0.07518,,0.00219,0.00015,0.00478,0.00798,9e-05,,,0.00016,,,,7e-05,0.00176,0.00032,2e-14,NA,2e-41,0,NA,2e-24,0.008,1e-42,1e-74,0.04,NA,NA,0.006,NA,NA,NA,0.7,0.4,8e-05
amy1a_amy1b_amy1c,AMY1A_AMY1B_AMY1C,Proteins,0.03514,0.90303,0.00931,0.00528,,0.04218,3e-05,0.00043,2e-05,0.00232,,,0.001,,,,8e-05,0.0011,8e-05,4e-258,NA,1e-91,1e-38,NA,0,0.3,0.06,0.5,3e-24,NA,NA,2e-11,NA,NA,NA,0.6,1,0.06
amy2a,AMY2A,Proteins,0.02503,0.9101,0.00636,0.00467,,0.04816,0.00017,0.00067,0.00022,0.00271,,,0.00043,,,,6e-05,0.00137,4e-05,2e-157,NA,4e-63,4e-33,NA,0,0.006,0.002,0.003,5e-28,NA,NA,1e-05,NA,NA,NA,0.7,1,0.2
ang,ANG,Proteins,0.005,0.87428,0.00668,0.00184,,0.02737,0.00082,0.00093,0.07218,0.00922,,,1e-05,,,,0.00026,0.00127,0.00014,1e-18,NA,8e-57,1e-10,NA,1e-285,3e-10,5e-06,0,1e-98,NA,NA,0.6,NA,NA,NA,0.03,1,0.008
angpt1,ANGPT1,Proteins,0.00526,0.97272,0.00337,0.00442,,0.00171,0.00043,0.00127,0.00053,0.00151,,,0.00714,,,,0.00025,0.00136,4e-05,3e-27,NA,1e-29,4e-30,NA,7e-18,2e-05,7e-08,0.04,6e-16,NA,NA,2e-69,NA,NA,NA,0.06,1,0.2
angpt2,ANGPT2,Proteins,0.00453,0.91425,0.01705,0.00118,,0.01661,0.00046,0.00107,0.01982,0.01815,,,0.00055,,,,3e-05,0.00117,0.00511,6e-26,NA,7e-172,3e-05,NA,1e-170,3e-06,5e-07,1e-199,3e-186,NA,NA,4e-07,NA,NA,NA,0.9,1,3e-54
angptl1,ANGPTL1,Proteins,0.00821,0.85029,0.0113,0.00421,,0.00629,0.00394,0.00145,0.0263,0,,,0.08377,,,,0.00043,0.00286,0.00097,4e-36,NA,6e-121,7e-33,NA,6e-69,6e-44,8e-11,1e-277,0.8,NA,NA,0,NA,NA,NA,0.0009,0.0002,6e-12
angptl2,ANGPTL2,Proteins,0.00364,0.84458,0.02008,0.00235,,0.09583,0.00053,0.00145,0.0059,0.00074,,,0.02131,,,,0.00017,0.00169,0.00174,8e-13,NA,9e-198,6e-16,NA,0,2e-07,3e-11,3e-44,1e-09,NA,NA,9e-233,NA,NA,NA,0.1,0.4,7e-21
angptl3,ANGPTL3,Proteins,0.012,0.81409,0.03538,0.00216,,3e-05,0.00308,3e-04,0.12987,0,,,0.00099,,,,7e-05,0.0016,0.00044,9e-126,NA,0,7e-15,NA,0.2,1e-36,0.2,0,0.9,NA,NA,7e-13,NA,NA,NA,0.6,0.6,2e-06
angptl4,ANGPTL4,Proteins,0.0252,0.8662,0.02163,0.00268,,0.05092,0.00607,0.00039,0.00171,0.00098,,,0.01999,,,,0.00017,0.00203,0.00203,3e-235,NA,1e-221,2e-18,NA,0,9e-67,0.06,2e-10,3e-12,NA,NA,8e-214,NA,NA,NA,0.1,0.1,1e-23
angptl7,ANGPTL7,Proteins,0.00667,0.9265,0.03323,0.00158,,0.00164,1e-05,0.00071,0.02316,2e-05,,,0.00445,,,,2e-05,0.0013,0.00071,2e-45,NA,2e-309,5e-08,NA,3e-18,0.5,0.0005,2e-210,0.3,NA,NA,8e-47,NA,NA,NA,1,1,1e-08
ank2,ANK2,Proteins,0.00108,0.99579,8e-05,0.00065,,0,2e-05,3e-04,0.00093,0,,,1e-05,,,,7e-05,0.00103,2e-05,7e-06,NA,0.08,0.1,NA,0.8,0.3,0.3,5e-10,0.8,NA,NA,0.5,NA,NA,NA,0.7,1,0.4
ankmy2,ANKMY2,Proteins,0.00167,0.94809,0.00042,0.03787,,0.00204,0.00027,0.00368,0.00055,2e-05,,,0.00268,,,,1e-04,0.00259,1e-05,3e-06,NA,0.6,0,NA,3e-21,0.0005,6e-29,0.01,0.3,NA,NA,2e-27,NA,NA,NA,0.5,0.008,0.4
ankra2,ANKRA2,Proteins,0.00047,0.996,5e-05,0.00045,,0.00026,0,0.00047,7e-05,0.00013,,,1e-05,,,,0.00011,0.00198,0,0.09,NA,0.2,0.5,NA,0.001,0.8,0.05,0.1,0.02,NA,NA,0.6,NA,NA,NA,0.5,0.3,0.9
ankrd54,ANKRD54,Proteins,0.00208,0.92,0.00092,0.05131,,0.00253,7e-05,0.00502,0.01441,0.00075,,,0.00026,,,,0.00014,0.0025,2e-05,1e-12,NA,3e-05,0,NA,1e-26,0.08,2e-42,8e-138,5e-09,NA,NA,0.0006,NA,NA,NA,0.3,0.07,0.3
anp32c,ANP32C,Proteins,0.00033,0.9974,0.00016,0.00036,,5e-05,2e-05,1e-04,0.00023,0.00015,,,0.00016,,,,1e-04,0.00094,0,0.08,NA,0.04,0.8,NA,0.1,0.4,1,0.008,0.01,NA,NA,0.01,NA,NA,NA,0.5,1,0.7
anpep,ANPEP,Proteins,0.00117,0.95952,0.01165,0.00104,,0.00342,0.00133,0.00092,0.01914,0.00039,,,2e-05,,,,7e-05,0.00133,1e-05,9e-05,NA,0.001,0.0008,NA,9e-35,2e-14,3e-05,3e-76,3e-05,NA,NA,0.3,NA,NA,NA,0.7,1,0.6
anxa1,ANXA1,Proteins,0.00412,0.91966,0.01684,0.02744,,0.01409,4e-05,0.00144,0.00982,0.00412,,,0,,,,6e-05,0.00174,0.00063,7e-29,NA,6e-161,8e-248,NA,5e-140,0.2,9e-10,2e-92,2e-42,NA,NA,0.7,NA,NA,NA,0.7,0.5,1e-07
anxa10,ANXA10,Proteins,0.00831,0.92453,0.04505,0.00363,,0.00075,0.00022,0.00038,0.00064,0.00737,,,0.00511,,,,3e-05,0.00111,0.00285,8e-47,NA,0,1e-24,NA,6e-09,0.002,0.1,2e-05,5e-74,NA,NA,6e-52,NA,NA,NA,0.9,1,9e-30
anxa11,ANXA11,Proteins,0.00233,0.96745,0.00063,0.02101,,0.00151,8e-05,0.0023,0.00056,0,,,0.00261,,,,9e-05,0.00132,1e-04,5e-15,NA,0.06,6e-181,NA,4e-16,0.05,1e-16,0.4,0.9,NA,NA,8e-27,NA,NA,NA,0.5,1,0.04
anxa2,ANXA2,Proteins,0.0033,0.91286,0.00788,0.01753,,0.03735,0.00021,0.00232,0.01008,0.0064,,,4e-05,,,,8e-05,0.0013,0.00065,6e-18,NA,8e-73,2e-153,NA,0,0.002,2e-17,3e-94,1e-64,NA,NA,0.2,NA,NA,NA,0.6,1,6e-08
anxa3,ANXA3,Proteins,0.00447,0.93827,0.00071,0.03993,,0.00611,1e-05,0.00411,0.00061,0.00028,,,0.00355,,,,1e-04,0.00182,4e-05,6e-34,NA,2e-06,0,NA,2e-62,0.5,3e-34,3e-05,0.0004,NA,NA,4e-37,NA,NA,NA,0.5,0.6,0.2
anxa4,ANXA4,Proteins,0.00185,0.95566,0.00092,0.03006,,7e-04,2e-05,0.00298,0.00055,9e-05,,,0.00524,,,,3e-05,0.00183,7e-05,1e-07,NA,6e-06,3e-265,NA,3e-08,0.3,8e-23,0.04,0.05,NA,NA,3e-52,NA,NA,NA,0.9,0.6,0.07
anxa5,ANXA5,Proteins,0.00087,0.97457,0.01546,8e-04,,0.00418,0.00039,0.00016,0.00096,0.00044,,,3e-05,,,,0.00017,0.00118,0.00078,0.002,NA,3e-144,0.02,NA,1e-40,5e-05,0.8,3e-10,2e-05,NA,NA,0.2,NA,NA,NA,0.2,1,7e-09
aoc1,AOC1,Proteins,0.00075,0.99459,0.00019,0.00107,,0.0018,2e-05,0.00038,9e-05,0.00015,,,0,,,,1e-04,0.00085,0,0.002,NA,0.05,0.001,NA,3e-18,0.3,0.1,0.9,0.01,NA,NA,0.9,NA,NA,NA,0.5,1,0.9
aoc3,AOC3,Proteins,0.01386,0.8903,0.05193,0.00179,,0.00658,1e-05,0.00033,0.02935,0.00178,,,0.00055,,,,0.00018,0.00116,0.00218,8e-133,NA,0,4e-10,NA,3e-70,0.4,0.1,3e-278,3e-20,NA,NA,3e-07,NA,NA,NA,0.1,1,2e-24
ap1g2,AP1G2,Proteins,0.00231,0.93415,0.00119,0.04204,,0.00874,0.00012,0.00541,0.00133,0.00053,,,0.00132,,,,0.00016,0.0027,1e-05,4e-13,NA,0.6,0,NA,9e-89,0.02,1e-46,0.008,9e-07,NA,NA,8e-15,NA,NA,NA,0.2,0.0008,0.6
ap2b1,AP2B1,Proteins,0.00182,0.96726,0.00087,0.01932,,0.00345,9e-05,0.00255,0.00225,6e-05,,,0.00052,,,,7e-05,0.00174,0,0.0001,NA,0.1,1e-162,NA,3e-34,0.05,2e-18,3e-15,0.1,NA,NA,2e-06,NA,NA,NA,0.7,0.7,0.9
ap3b1,AP3B1,Proteins,0.00237,0.93952,9e-04,0.0345,,0.01153,0.00012,0.00463,0.00098,0.00034,,,0.00257,,,,0.00016,0.00236,0,2e-09,NA,0.01,5e-316,NA,1e-115,0.02,4e-39,0.002,9e-05,NA,NA,3e-27,NA,NA,NA,0.2,0.01,0.7
ap3s2,AP3S2,Proteins,0.00206,0.94882,0.00084,0.03224,,0.00712,0.00055,0.00438,0.00086,0.00016,,,0.00065,,,,9e-05,0.00219,4e-05,4e-12,NA,0.0004,2e-292,NA,9e-72,6e-07,2e-36,0.0003,0.006,NA,NA,6e-08,NA,NA,NA,0.6,0.08,0.2
apbb1ip,APBB1IP,Proteins,0.00171,0.88234,0.01057,0.02829,,0.06566,0.00076,0.00384,0.00323,0.00038,,,0.00051,,,,1e-04,0.00178,0.00083,4e-08,NA,3e-94,2e-272,NA,0,2e-09,1e-33,2e-17,2e-05,NA,NA,8e-07,NA,NA,NA,0.4,0.7,2e-10
apcs,APCS,Proteins,0.00658,0.72469,0.00212,0.00352,,0.13787,0.00246,0.002,0.10724,0.01049,,,0.00094,,,,0.00019,0.00166,0.00023,1e-39,NA,0.03,5e-33,NA,0,3e-33,6e-20,0,3e-135,NA,NA,1e-13,NA,NA,NA,0.05,0.09,0.0003
