FID,Name,Type,r2_Residuals,r2_PCs,r2_age_recruitment,r2_assessment_centre,r2_batch,r2_bmi,r2_fasting,r2_month_attending,r2_sex,r2_smoking,r2_spectrometer,r2_time_analysis,r2_time_day,r2_acquisition_time,r2_device_ID,r2_dilution_factor,r2_Batch,r2_panel_date,r2_ppp_sel,p.value_PCs,p.value_Residuals,p.value_age_recruitment,p.value_assessment_centre,p.value_batch,p.value_bmi,p.value_fasting,p.value_month_attending,p.value_sex,p.value_smoking,p.value_spectrometer,p.value_time_analysis,p.value_time_day,p.value_acquisition_time,p.value_device_ID,p.value_dilution_factor,p.value_Batch,p.value_panel_date,p.value_ppp_sel
bambi,BAMBI,Proteins,0.9486,0.0071,0.0293,0.0014,,5e-04,1e-04,7e-04,0.0081,1e-04,,,9e-04,,,,1e-04,0.0013,0.0018,5e-33,NA,3e-260,4e-06,NA,4e-06,0.02,0.0007,8e-61,0.04,NA,NA,2e-10,NA,NA,NA,0.7,1,1e-18
bank1,BANK1,Proteins,0.9203,0.0019,0.0015,0.0487,,0.0053,1e-04,0.0116,0.0046,9e-04,,,0.0023,,,,0,0.0025,1e-04,7e-08,NA,1e-09,0,NA,2e-55,0.01,2e-107,2e-40,6e-11,NA,NA,2e-24,NA,NA,NA,0.9,0.01,0.02
bap18,BAP18,Proteins,0.8892,0.0024,0.0104,0.0303,,0.0453,0.0015,0.0047,0.0095,0.0035,,,1e-04,,,,1e-04,0.002,0.001,4e-12,NA,8e-92,3e-293,NA,0,6e-18,4e-42,5e-82,1e-38,NA,NA,0.04,NA,NA,NA,0.2,0.1,1e-11
batf,BATF,Proteins,0.9945,5e-04,0,0.0012,,0.0014,0,3e-04,3e-04,0,,,2e-04,,,,3e-04,0.0012,1e-04,0.007,NA,0.5,0.0002,NA,3e-14,0.6,0.4,0.0007,0.9,NA,NA,0.002,NA,NA,NA,0.04,1,0.02
bax,BAX,Proteins,0.9654,0.0033,4e-04,0.0182,,0.0038,0,0.0025,3e-04,8e-04,,,0.0037,,,,0,0.0014,1e-04,8e-19,NA,0.002,6e-152,NA,1e-37,0.4,7e-18,0.02,4e-09,NA,NA,2e-36,NA,NA,NA,0.9,1,0.02
bcam,BCAM,Proteins,0.9539,0.0048,0.0314,0.0034,,0.0011,0,5e-04,2e-04,0,,,7e-04,,,,1e-04,0.0013,0.0028,1e-31,NA,7e-301,5e-22,NA,3e-12,0.5,0.02,0.9,0.3,NA,NA,6e-08,NA,NA,NA,0.7,1,3e-29
bcan,BCAN,Proteins,0.8348,0.0054,0.0121,0.0107,,0.0678,5e-04,8e-04,0.0279,0.0353,,,8e-04,,,,1e-04,0.0021,0.0016,5e-45,NA,6e-113,2e-101,NA,0,7e-07,1e-05,6e-284,0,NA,NA,2e-10,NA,NA,NA,0.2,0.09,2e-19
bcat1,BCAT1,Proteins,0.9412,0.0064,0.0261,0.0061,,0.0139,1e-04,0.0016,0.0011,6e-04,,,0,,,,1e-04,0.0017,0.0012,5e-49,NA,5e-256,6e-47,NA,1e-139,0.09,2e-11,2e-11,1e-07,NA,NA,0.4,NA,NA,NA,0.8,0.7,3e-13
bcat2,BCAT2,Proteins,0.9923,8e-04,9e-04,9e-04,,0.0016,0,3e-04,0.0017,3e-04,,,0,,,,2e-04,0.0011,0,0.0005,NA,2e-08,0.009,NA,6e-16,1,0.3,2e-15,0.0009,NA,NA,0.1,NA,NA,NA,0.2,1,0.9
bche,BCHE,Proteins,0.8752,0.0066,0.0163,0.0044,,0.0668,7e-04,0.0015,0.0263,1e-04,,,5e-04,,,,0,0.0015,2e-04,3e-40,NA,5e-14,1e-33,NA,0,3e-09,4e-11,4e-118,0.04,NA,NA,3e-06,NA,NA,NA,1,0.8,0.003
bcl2,BCL2,Proteins,0.9256,0.0056,0.0239,0.0059,,0.028,7e-04,9e-04,0.0044,0.0017,,,9e-04,,,,1e-04,0.0011,0.0013,2e-33,NA,3e-224,4e-46,NA,2e-279,1e-08,1e-05,3e-30,7e-19,NA,NA,2e-10,NA,NA,NA,0.4,1,6e-15
bcl2l1,BCL2L1,Proteins,0.9635,0.0019,9e-04,0.0223,,0.0015,1e-04,0.0022,8e-04,2e-04,,,0.0043,,,,1e-04,0.0023,1e-04,2e-07,NA,0.03,2e-195,NA,2e-16,0.05,4e-16,0.1,0.008,NA,NA,3e-43,NA,NA,NA,0.7,0.06,0.05
bcl2l11,BCL2L11,Proteins,0.9631,0.0062,0.0118,0.0021,,0.0017,1e-04,0.0013,0.0067,0.0032,,,0.0018,,,,2e-04,0.0012,6e-04,1e-38,NA,5e-110,2e-11,NA,8e-18,0.05,2e-08,1e-61,1e-32,NA,NA,3e-19,NA,NA,NA,0.2,1,3e-07
bcl2l15,BCL2L15,Proteins,0.9195,0.005,0.0068,0.0471,,0.0086,2e-04,0.0015,0.0025,0.002,,,0.0029,,,,1e-04,0.0021,0.0015,4e-43,NA,3e-68,0,NA,2e-86,0.002,3e-10,4e-26,1e-21,NA,NA,1e-30,NA,NA,NA,0.5,0.1,8e-17
bcl7a,BCL7A,Proteins,0.9972,5e-04,1e-04,3e-04,,1e-04,0,1e-04,0,1e-04,,,0,,,,0,0.0014,0,0.03,NA,0.05,0.9,NA,0.01,0.3,0.9,0.2,0.08,NA,NA,0.6,NA,NA,NA,0.9,0.9,0.5
bcl7b,BCL7B,Proteins,0.994,0.0017,2e-04,0.0013,,2e-04,1e-04,2e-04,1e-04,0.0011,,,0,,,,0,0.001,0,1e-11,NA,0.003,5e-05,NA,0.002,0.1,0.6,0.03,4e-12,NA,NA,0.4,NA,NA,NA,1,1,0.9
bcr,BCR,Proteins,0.9351,0.0042,7e-04,0.032,,0.0069,2e-04,0.0122,0.0028,4e-04,,,0.0028,,,,4e-04,0.0022,0,6e-26,NA,0.5,7e-292,NA,2e-70,0.002,8e-111,5e-22,1e-05,NA,NA,6e-30,NA,NA,NA,0.002,0.1,0.5
bdnf,BDNF,Proteins,0.9718,0.0035,0.0022,0.0036,,0.0014,1e-04,0.0011,0.006,0.0032,,,0.0056,,,,1e-04,0.0013,1e-04,3e-14,NA,3e-20,1e-23,NA,3e-15,0.05,1e-06,2e-57,6e-33,NA,NA,2e-55,NA,NA,NA,0.7,1,0.03
becn1,BECN1,Proteins,0.907,0.0011,0.0012,0.0559,,0.0163,0,0.0094,0.004,3e-04,,,0.0019,,,,2e-04,0.0027,0,0.002,NA,0.06,0,NA,2e-164,0.9,3e-86,8e-31,9e-05,NA,NA,6e-21,NA,NA,NA,0.2,0.004,0.7
bex3,BEX3,Proteins,0.9952,5e-04,2e-04,5e-04,,0.001,0,2e-04,0,0.001,,,0,,,,0,0.0012,0,0.01,NA,0.01,0.4,NA,4e-11,0.3,0.6,0.8,6e-11,NA,NA,0.3,NA,NA,NA,0.9,1,0.3
bglap,BGLAP,Proteins,0.9007,0.0346,0.0081,0.019,,0.0026,3e-04,0.0055,0.019,0.0088,,,1e-04,,,,0,0.0014,1e-04,1e-322,NA,2e-19,4e-177,NA,2e-28,0.0005,1e-49,3e-131,1e-92,NA,NA,0.06,NA,NA,NA,1,0.9,0.02
bgn,BGN,Proteins,0.9455,0.0205,0.0014,0.0035,,0.0028,2e-04,0.0025,0.0141,0.0054,,,0.001,,,,3e-04,0.0028,0,6e-185,NA,1e-14,7e-23,NA,8e-29,0.007,5e-18,1e-135,2e-53,NA,NA,9e-11,NA,NA,NA,0.01,0.02,0.4
bhlhe40,BHLHE40,Proteins,0.9963,3e-04,2e-04,5e-04,,0,0,6e-04,2e-04,0,,,0,,,,2e-04,0.0016,0,0.1,NA,0.002,0.4,NA,0.2,0.6,0.02,0.002,0.4,NA,NA,0.2,NA,NA,NA,0.2,0.9,0.8
bhmt2,BHMT2,Proteins,0.9951,6e-04,1e-04,0.0012,,0,0,3e-04,1e-04,1e-04,,,1e-04,,,,4e-04,0.002,0,0.01,NA,0.9,0.0002,NA,0.3,0.8,0.3,0.9,0.06,NA,NA,0.02,NA,NA,NA,0.004,0.6,0.8
bid,BID,Proteins,0.9305,0.0043,0.0012,0.0295,,0.0221,0,0.0045,0.0013,0.0012,,,0.0033,,,,1e-04,0.0018,2e-04,6e-32,NA,0.5,2e-269,NA,1e-219,0.3,1e-37,0.02,1e-13,NA,NA,9e-35,NA,NA,NA,0.7,0.5,0.003
bin2,BIN2,Proteins,0.9374,0.0016,0.001,0.0434,,0.002,3e-04,0.0075,8e-04,0,,,0.0033,,,,3e-04,0.0022,1e-04,3e-07,NA,9e-08,0,NA,5e-22,0.0002,3e-66,5e-05,0.9,NA,NA,3e-34,NA,NA,NA,0.02,0.2,0.03
birc2,BIRC2,Proteins,0.9538,0.0019,7e-04,0.0323,,0.0025,3e-04,0.0034,9e-04,2e-04,,,0.0016,,,,1e-04,0.0025,0,9e-07,NA,1,4e-282,NA,4e-25,0.0006,2e-26,0.02,0.004,NA,NA,1e-16,NA,NA,NA,0.5,0.1,1
blmh,BLMH,Proteins,0.9274,0.0017,0.0044,0.0169,,0.0066,2e-04,0.003,0.0271,0.0097,,,0.0015,,,,0,0.001,2e-04,5e-05,NA,4e-05,3e-152,NA,8e-69,0.002,2e-24,5e-232,2e-99,NA,NA,2e-16,NA,NA,NA,0.9,1,0.001
blnk,BLNK,Proteins,0.9545,0.0102,7e-04,0.006,,0.0172,0.0013,0.0013,8e-04,0.0066,,,0,,,,1e-04,0.0013,1e-04,1e-53,NA,0.4,1e-43,NA,1e-163,3e-14,4e-08,0.05,3e-64,NA,NA,0.5,NA,NA,NA,0.8,1,0.08
bloc1s2,BLOC1S2,Proteins,0.996,6e-04,3e-04,7e-04,,1e-04,0,3e-04,1e-04,8e-04,,,0,,,,0,0.0011,0,0.03,NA,0.0006,0.06,NA,0.1,0.5,0.3,0.02,9e-09,NA,NA,0.8,NA,NA,NA,1,1,0.2
bloc1s3,BLOC1S3,Proteins,0.9452,0.0015,0.0017,0.0377,,0.0035,2e-04,0.0045,0.0019,1e-04,,,0.0012,,,,1e-04,0.0024,1e-04,6e-06,NA,0.6,0,NA,5e-36,0.002,3e-37,0.0005,0.02,NA,NA,5e-13,NA,NA,NA,0.5,0.02,0.06
blvrb,BLVRB,Proteins,0.8893,0.0018,0.0013,0.065,,0.0031,0.0011,0.0042,0.0306,0.0012,,,0,,,,1e-04,0.0019,2e-04,3e-11,NA,7e-09,0,NA,4e-34,1e-13,2e-37,1e-309,2e-14,NA,NA,0.2,NA,NA,NA,0.5,0.4,0.001
bmp10,BMP10,Proteins,0.8609,0.0019,0.0151,0.0015,,0.0398,6e-04,5e-04,0.0662,0.0054,,,0.0069,,,,1e-04,0.0013,1e-04,1e-07,NA,5e-158,1e-07,NA,0,6e-08,0.02,0,7e-59,NA,NA,2e-74,NA,NA,NA,0.7,0.9,0.03
bmp4,BMP4,Proteins,0.9416,0.0027,0.0078,0.0128,,0.0012,0,0.0059,0.0207,0,,,0.0045,,,,3e-04,0.0018,6e-04,1e-20,NA,1e-73,3e-108,NA,4e-13,0.5,2e-50,1e-198,0.3,NA,NA,1e-45,NA,NA,NA,0.03,0.7,8e-08
bmp6,BMP6,Proteins,0.9778,0.0035,0.0048,0.0026,,0.0035,0,0.0011,0.0046,2e-04,,,0,,,,1e-04,0.0016,2e-04,2e-13,NA,3e-45,2e-14,NA,7e-34,0.4,2e-06,5e-44,0.003,NA,NA,0.5,NA,NA,NA,0.5,0.9,0.008
bmper,BMPER,Proteins,0.9293,0.0035,0.0073,0.0017,,0.0475,0.0012,5e-04,0.0044,0.001,,,6e-04,,,,1e-04,0.0014,0.0017,4e-22,NA,1e-51,3e-08,NA,0,8e-14,0.02,1e-22,3e-11,NA,NA,2e-07,NA,NA,NA,0.6,0.9,5e-18
bnip2,BNIP2,Proteins,0.9826,0.0017,4e-04,0.0082,,4e-04,0,0.0016,7e-04,0,,,0.0023,,,,2e-04,0.0019,0,6e-08,NA,0.01,2e-63,NA,1e-05,0.3,1e-10,7e-05,0.4,NA,NA,2e-23,NA,NA,NA,0.1,0.6,0.5
bnip3l,BNIP3L,Proteins,0.9269,0.0025,0.0036,0.0338,,0.0148,1e-04,0.0052,0.0065,0.0031,,,4e-04,,,,1e-04,0.0016,0.0014,2e-06,NA,3e-33,2e-304,NA,1e-145,0.02,5e-44,1e-61,2e-32,NA,NA,5e-05,NA,NA,NA,0.8,0.7,4e-15
boc,BOC,Proteins,0.9268,0.0152,0.0085,0.0064,,0.0172,0,0.0038,0.0195,6e-04,,,3e-04,,,,2e-04,0.0013,1e-04,2e-97,NA,5e-76,2e-49,NA,9e-169,0.1,3e-31,7e-182,1e-07,NA,NA,0.0002,NA,NA,NA,0.1,1,0.1
bola1,BOLA1,Proteins,0.9521,0.0052,0.0042,0.0106,,0.0149,1e-04,0.0031,0.0043,0.0026,,,0.0011,,,,0,0.0014,5e-04,3e-43,NA,6e-32,6e-85,NA,5e-143,0.02,2e-23,2e-32,4e-26,NA,NA,9e-12,NA,NA,NA,0.9,1,6e-06
bola2_bola2b,BOLA2_BOLA2B,Proteins,0.9068,0.0012,0.0024,0.0528,,0.0085,4e-04,0.0066,0.0154,0.0013,,,0.0025,,,,1e-04,0.0019,1e-04,0.001,NA,1e-13,0,NA,1e-86,5e-06,2e-58,1e-142,1e-14,NA,NA,2e-27,NA,NA,NA,0.5,0.4,0.03
bpifa2,BPIFA2,Proteins,0.8914,0.032,0.0141,0.0073,,0.0413,6e-04,4e-04,0.005,0.0033,,,0.0029,,,,2e-04,0.0014,0,6e-279,NA,4e-134,2e-57,NA,0,1e-07,0.1,2e-45,3e-34,NA,NA,1e-30,NA,NA,NA,0.1,1,0.3
bpifb1,BPIFB1,Proteins,0.8569,0.0181,0.0038,0.0034,,0.0315,9e-04,0.0014,0.0542,0.0276,,,4e-04,,,,0,0.0015,3e-04,1e-133,NA,6e-41,4e-25,NA,0,6e-11,5e-10,0,1e-293,NA,NA,2e-05,NA,NA,NA,0.9,0.8,6e-05
bpifb2,BPIFB2,Proteins,0.8113,0.009,0.0042,0.0014,,0.1254,0.0012,4e-04,0.0451,0,,,3e-04,,,,1e-04,0.0015,0,2e-42,NA,3e-50,2e-08,NA,0,3e-15,0.03,0,0.9,NA,NA,6e-05,NA,NA,NA,0.2,0.6,0.2
brap,BRAP,Proteins,0.9345,0.0021,8e-04,0.0435,,0.0045,3e-04,0.0077,8e-04,0,,,0.0028,,,,2e-04,0.0026,2e-04,9e-10,NA,0.2,0,NA,9e-47,0.0001,4e-68,0.2,0.5,NA,NA,1e-29,NA,NA,NA,0.2,0.002,0.005
brd1,BRD1,Proteins,0.9927,8e-04,7e-04,5e-04,,0.0024,2e-04,4e-04,1e-04,6e-04,,,1e-04,,,,1e-04,0.0013,0,0.009,NA,2e-07,0.4,NA,1e-23,0.001,0.1,0.6,8e-07,NA,NA,0.02,NA,NA,NA,0.6,1,0.2
brd2,BRD2,Proteins,0.9955,7e-04,1e-04,9e-04,,1e-04,1e-04,2e-04,0,5e-04,,,0,,,,4e-04,0.0013,1e-04,0.001,NA,0.03,0.009,NA,0.06,0.1,0.6,0.5,2e-06,NA,NA,0.2,NA,NA,NA,0.008,1,0.09
brd3,BRD3,Proteins,0.9931,9e-04,2e-04,0.0023,,5e-04,0,4e-04,1e-04,2e-04,,,1e-04,,,,3e-04,0.0019,1e-04,0.003,NA,0.08,6e-12,NA,4e-06,0.3,0.2,0.8,0.01,NA,NA,0.06,NA,NA,NA,0.03,0.6,0.1
brdt,BRDT,Proteins,0.987,0.0026,3e-04,0.0062,,4e-04,2e-04,0.001,3e-04,0,,,6e-04,,,,1e-04,0.0013,0,5e-11,NA,0.2,1e-43,NA,2e-05,0.002,2e-05,0.1,0.3,NA,NA,1e-06,NA,NA,NA,0.5,1,0.7
brk1,BRK1,Proteins,0.9493,0.0052,0.0172,0.0111,,0.0092,2e-04,0.001,0.0031,3e-04,,,4e-04,,,,1e-04,0.0015,0.0013,4e-34,NA,8e-156,3e-90,NA,8e-90,0.008,1e-05,1e-22,0.0001,NA,NA,2e-05,NA,NA,NA,0.6,1,4e-14
brme1,BRME1,Proteins,0.9973,6e-04,1e-04,7e-04,,0,0,2e-04,1e-04,0,,,0,,,,1e-04,9e-04,0,0.07,NA,0.1,0.1,NA,1,0.6,0.6,0.08,0.9,NA,NA,0.3,NA,NA,NA,0.3,1,0.7
brsk2,BRSK2,Proteins,0.9775,0.0015,9e-04,0.0125,,1e-04,1e-04,0.0019,0.0033,4e-04,,,3e-04,,,,1e-04,0.0014,0,4e-07,NA,0.0002,8e-103,NA,0.04,0.01,6e-13,4e-28,2e-05,NA,NA,0.0002,NA,NA,NA,0.4,0.9,0.8
bsg,BSG,Proteins,0.8686,0.0178,0.023,0.0069,,0.0471,2e-04,9e-04,0.0233,0.0087,,,0,,,,0,0.0011,0.0023,2e-129,NA,2e-220,3e-60,NA,0,0.002,3e-06,1e-223,8e-95,NA,NA,0.3,NA,NA,NA,1,1,2e-26
bsnd,BSND,Proteins,0.9971,3e-04,0,4e-04,,1e-04,0,1e-04,3e-04,2e-04,,,0,,,,1e-04,0.0015,0,0.05,NA,0.5,0.6,NA,0.06,0.9,1,0.002,0.009,NA,NA,0.6,NA,NA,NA,0.7,0.9,0.7
bst1,BST1,Proteins,0.9695,0.0016,6e-04,0.0012,,0,0,1e-04,0.025,4e-04,,,1e-04,,,,0,0.0014,0,9e-05,NA,0.04,5e-05,NA,0.2,0.2,0.9,3e-236,7e-05,NA,NA,0.1,NA,NA,NA,0.9,1,0.3
bst2,BST2,Proteins,0.9068,0.0206,0.0103,0.0084,,0.032,0.0022,0.0022,0.0077,0.0064,,,0,,,,1e-04,0.0012,0.0021,9e-85,NA,9e-62,5e-72,NA,0,3e-24,7e-17,6e-35,1e-67,NA,NA,0.7,NA,NA,NA,0.2,1,7e-24
btc,BTC,Proteins,0.9473,0.0335,0.0012,0.008,,4e-04,6e-04,0.0017,0.001,0,,,0.0042,,,,3e-04,0.0019,0,2e-284,NA,0.0002,1e-62,NA,3e-05,3e-07,7e-12,0.03,0.2,NA,NA,7e-42,NA,NA,NA,0.04,0.8,0.4
btd,BTD,Proteins,0.95,0.0011,0.0092,0.001,,0.0227,6e-04,7e-04,0.0128,0,,,0,,,,0,0.0012,7e-04,0.009,NA,1e-18,0.002,NA,7e-223,3e-07,0.0005,2e-54,1,NA,NA,0.4,NA,NA,NA,1,1,4e-08
btla,BTLA,Proteins,0.9959,6e-04,4e-04,4e-04,,4e-04,1e-04,4e-04,1e-04,0,,,0,,,,2e-04,0.0014,1e-04,0.03,NA,3e-05,0.6,NA,9e-05,0.04,0.1,0.04,0.3,NA,NA,0.5,NA,NA,NA,0.3,0.9,0.09
btn1a1,BTN1A1,Proteins,0.9933,0.0029,4e-04,7e-04,,4e-04,2e-04,2e-04,2e-04,1e-04,,,1e-04,,,,1e-04,0.0012,2e-04,6e-22,NA,0.0001,0.05,NA,8e-05,0.006,0.8,0.04,0.07,NA,NA,0.06,NA,NA,NA,0.5,1,0.001
btn2a1,BTN2A1,Proteins,0.8962,0.0189,0.0416,0.0028,,0.0276,0,7e-04,0.0011,0.001,,,0.0056,,,,1e-04,0.0012,0.0033,1e-133,NA,0,1e-18,NA,8e-284,1,0.0003,0.1,2e-11,NA,NA,6e-60,NA,NA,NA,0.7,1,1e-35
btn3a2,BTN3A2,Proteins,0.9445,0.0049,0.019,0.0039,,0.0224,0,0.0011,4e-04,5e-04,,,4e-04,,,,1e-04,0.001,0.0018,1e-37,NA,5e-183,2e-26,NA,1e-218,0.6,1e-06,0.5,3e-06,NA,NA,2e-05,NA,NA,NA,0.4,1,2e-19
btnl10,BTNL10,Proteins,0.9961,5e-04,1e-04,5e-04,,9e-04,1e-04,2e-04,1e-04,0,,,0,,,,2e-04,0.0014,0,0.02,NA,0.1,0.4,NA,1e-09,0.06,0.8,0.1,0.2,NA,NA,0.4,NA,NA,NA,0.2,1,0.5
c19orf12,C19ORF12,Proteins,0.8794,0.0046,0.0025,0.0019,,0.0785,0.0021,0.0013,0.0251,0.0014,,,0.0012,,,,0,0.0018,1e-04,3e-15,NA,0.0004,4e-11,NA,0,3e-23,1e-08,2e-235,6e-16,NA,NA,1e-13,NA,NA,NA,0.9,0.5,0.03
c1galt1c1,C1GALT1C1,Proteins,0.9908,0.0015,4e-04,0.0012,,0,1e-04,1e-04,0.0027,0,,,0.0013,,,,1e-04,0.0016,1e-04,4e-07,NA,0.007,0.0001,NA,0.2,0.1,0.9,8e-25,0.2,NA,NA,2e-13,NA,NA,NA,0.3,0.9,0.05
c1qa,C1QA,Proteins,0.9343,0.0147,0.0132,0.0036,,0,0.0012,4e-04,0.0157,0.0062,,,0.0064,,,,1e-04,9e-04,0.0032,3e-114,NA,3e-63,4e-25,NA,0.4,2e-13,0.05,2e-88,8e-64,NA,NA,4e-66,NA,NA,NA,0.8,1,5e-34
c1qbp,C1QBP,Proteins,0.9884,9e-04,2e-04,0.0056,,0.001,0,0.0015,1e-04,1e-04,,,8e-04,,,,0,0.0013,1e-04,0.003,NA,0.004,2e-40,NA,1e-10,0.8,2e-09,0.1,0.01,NA,NA,6e-09,NA,NA,NA,0.8,1,0.06
c1ql2,C1QL2,Proteins,0.8991,0.0054,0.0198,5e-04,,0.0026,1e-04,2e-04,0.0706,0,,,1e-04,,,,0,0.0013,3e-04,1e-31,NA,8e-194,0.3,NA,3e-28,0.1,0.6,0,1,NA,NA,0.09,NA,NA,NA,0.9,1,0.0003
c1qtnf1,C1QTNF1,Proteins,0.9238,0.0037,0.0223,0.0014,,0.0393,2e-04,0.002,0.0031,0.001,,,4e-04,,,,1e-04,0.0016,0.0011,6e-25,NA,6e-203,1e-06,NA,0,0.006,2e-14,4e-12,7e-12,NA,NA,6e-06,NA,NA,NA,0.6,0.8,4e-13
c1qtnf5,C1QTNF5,Proteins,0.9164,0.0104,6e-04,0.0035,,0.0152,0.001,4e-04,6e-04,5e-04,,,0.0488,,,,2e-04,0.0019,4e-04,8e-88,NA,0.3,1e-23,NA,8e-152,1e-11,0.06,0.03,1e-06,NA,NA,0,NA,NA,NA,0.1,0.2,6e-06
c1qtnf6,C1QTNF6,Proteins,0.9868,0.0011,6e-04,9e-04,,0.0075,1e-04,7e-04,9e-04,0,,,0,,,,3e-04,9e-04,3e-04,4e-05,NA,0.0008,0.007,NA,2e-72,0.06,0.002,1e-06,0.7,NA,NA,0.6,NA,NA,NA,0.03,1,0.0005
c1qtnf9,C1QTNF9,Proteins,0.9789,0.0044,0.0043,0.0013,,0.0012,3e-04,9e-04,0.0043,0.0022,,,5e-04,,,,0,0.0016,0,3e-17,NA,2e-34,3e-05,NA,4e-13,0.0002,3e-05,2e-34,8e-22,NA,NA,3e-06,NA,NA,NA,0.9,0.8,0.3
c1r,C1R,Proteins,0.936,0.0033,0.0042,0.0049,,0.0317,8e-04,0.0014,0.0068,0.0025,,,0.0067,,,,1e-04,0.0015,1e-04,1e-21,NA,8e-27,1e-36,NA,3e-313,3e-09,3e-09,2e-53,3e-27,NA,NA,4e-69,NA,NA,NA,0.8,0.8,0.02
c1rl,C1RL,Proteins,0.8822,0.0086,0.0038,0.0029,,0.0622,3e-04,4e-04,0.0377,2e-04,,,2e-04,,,,1e-04,0.001,3e-04,6e-43,NA,2e-42,9e-20,NA,0,0.0001,0.04,0,0.001,NA,NA,0.005,NA,NA,NA,0.6,1,4e-05
c1s,C1S,Proteins,0.9265,0.0036,0.0074,0.0027,,0.0435,0.0011,5e-04,0.0067,0.0027,,,0.0036,,,,0,0.0016,0,1e-22,NA,5e-52,4e-17,NA,0,2e-12,0.02,3e-45,3e-29,NA,NA,7e-38,NA,NA,NA,0.9,0.7,0.6
c2,C2,Proteins,0.8952,0.0071,0.0105,0.0025,,0.057,0.0017,5e-04,0.0236,3e-04,,,2e-04,,,,0,0.0014,0,5e-37,NA,1e-88,1e-15,NA,0,1e-19,0.008,3e-222,0.0005,NA,NA,0.001,NA,NA,NA,0.9,1,0.6
c2cd2l,C2CD2L,Proteins,0.9832,0.0014,4e-04,0.0063,,0.0044,0,0.0017,3e-04,1e-04,,,2e-04,,,,2e-04,0.0017,2e-04,6e-08,NA,0.1,3e-45,NA,2e-42,0.6,1e-10,0.6,0.08,NA,NA,0.001,NA,NA,NA,0.1,0.9,0.01
c2orf69,C2ORF69,Proteins,0.9704,0.0019,4e-04,0.0176,,0.003,0,0.0025,5e-04,1e-04,,,0.0021,,,,1e-04,0.0014,0,2e-13,NA,0.007,1e-146,NA,7e-30,0.3,7e-18,0.001,0.02,NA,NA,6e-22,NA,NA,NA,0.7,1,0.3
c3,C3,Proteins,0.8341,0.0097,0.0034,0.0096,,0.1306,0.0023,0.0063,0.0015,0,,,2e-04,,,,1e-04,0.0022,1e-04,4e-42,NA,1e-22,5e-86,NA,0,1e-25,5e-59,0.02,0.4,NA,NA,0.002,NA,NA,NA,0.3,0.02,0.09
c4bpb,C4BPB,Proteins,0.9184,0.0039,0.0232,0.0016,,0.0019,2e-04,8e-04,0.0462,0.0025,,,1e-04,,,,1e-04,0.001,0,7e-17,NA,6e-178,2e-08,NA,4e-21,0.003,5e-05,0,4e-27,NA,NA,0.02,NA,NA,NA,0.4,1,0.3
c5,C5,Proteins,0.9648,0.001,0.0083,0.0013,,0.0195,5e-04,4e-04,0.0027,1e-04,,,1e-04,,,,1e-04,0.001,2e-04,0.003,NA,5e-72,2e-05,NA,2e-189,4e-06,0.07,2e-17,0.03,NA,NA,0.03,NA,NA,NA,0.4,1,0.002
c7,C7,Proteins,0.9326,0.0079,0.0419,0.0026,,0.0031,9e-04,3e-04,0.0049,0,,,3e-04,,,,1e-04,0.0012,0.0041,4e-57,NA,0,1e-15,NA,7e-32,4e-10,0.3,1e-49,0.3,NA,NA,8e-05,NA,NA,NA,0.5,1,9e-42
c7orf50,C7ORF50,Proteins,0.9454,8e-04,0.0019,0.0265,,0.0126,5e-04,0.0032,0.0029,0.0021,,,0.002,,,,2e-04,0.0018,0,0.005,NA,5e-06,6e-239,NA,4e-126,7e-07,2e-25,5e-16,7e-23,NA,NA,5e-22,NA,NA,NA,0.05,0.4,1
c8b,C8B,Proteins,0.9494,0.0021,0.0053,8e-04,,0.01,3e-04,4e-04,0.0301,2e-04,,,1e-04,,,,1e-04,0.0012,1e-04,7e-11,NA,2e-30,0.01,NA,3e-100,0.0003,0.09,6e-271,0.003,NA,NA,0.1,NA,NA,NA,0.6,1,0.04
c9,C9,Proteins,0.9507,0.0021,0.0084,0.0018,,3e-04,0.0015,3e-04,0.0301,0.0016,,,4e-04,,,,2e-04,0.0011,0.0014,3e-08,NA,1e-68,2e-09,NA,0.0003,1e-16,0.2,3e-277,8e-18,NA,NA,5e-05,NA,NA,NA,0.1,1,7e-16
c9orf40,C9ORF40,Proteins,0.9091,0.0015,2e-04,0.0722,,0.0012,6e-04,0.0036,0.0072,0.0018,,,5e-04,,,,2e-04,0.0019,0,0.0001,NA,0.8,0,NA,5e-14,1e-07,9e-31,2e-73,5e-20,NA,NA,2e-06,NA,NA,NA,0.2,0.2,0.3
ca1,CA1,Proteins,0.8794,9e-04,0.0013,0.0646,,0.003,0.0011,0.0036,0.0419,9e-04,,,4e-04,,,,1e-04,0.0026,2e-04,0.006,NA,2e-10,0,NA,1e-32,2e-12,6e-31,0,3e-11,NA,NA,1e-05,NA,NA,NA,0.8,0.007,0.001
ca11,CA11,Proteins,0.9884,0.0013,3e-04,5e-04,,0.0015,1e-04,2e-04,0.0066,1e-04,,,0,,,,1e-04,0.001,0,6e-07,NA,0.002,0.4,NA,3e-15,0.02,0.7,1e-61,0.1,NA,NA,0.2,NA,NA,NA,0.3,1,0.7
